midpoint,gdpc,a2003,a2013,c2003,c2013
550,560,1.0706711366043,0.808957582147207,29.9042449159222,13.4584957837428
570,580,1.13400567555664,0.700431176410268,31.0382505914788,14.1589269601531
590,600,0.98362894637726,0.765011703820022,32.0218795378561,14.9239386639731
610,620,0.958906997292477,0.768146648399505,32.9807865351486,15.6920853123726
630,640,0.958311455369102,0.719323262307161,33.9390979905177,16.4114085746798
650,660,0.908084154551263,0.750164108668732,34.8471821450689,17.1615726833485
670,680,0.900487554839888,0.73217704340686,35.7476696999088,17.8937497267554
690,700,0.905193144640306,0.717751670902034,36.6528628445491,18.6115013976574
710,720,0.875370690223676,0.70566630435395,37.5282335347728,19.3171677020114
730,740,0.829091262029923,0.738858616823815,38.3573247968027,20.0560263188352
750,760,0.841697665582063,0.641724166899861,39.1990224623848,20.697750485735
770,780,0.796296405321825,0.663118847930909,39.9953188677066,21.3608693336659
790,800,0.792713939432507,0.660662436438185,40.7880328071391,22.0215317701041
810,820,0.721458942852098,0.687349948505707,41.5094917499912,22.7088817186098
830,840,0.739596672834797,0.712083990167484,42.249088422826,23.4209657087773
850,860,0.770443456000637,0.689817686988544,43.0195318788266,24.1107833957659
870,880,0.670264123458243,0.651824571091095,43.6897960022849,24.762607966857
890,900,0.655284522719794,0.652837534245739,44.3450805250047,25.4154455011027
910,920,0.679424661799092,0.716835283436828,45.0245051868038,26.1322807845395
930,940,0.594421311197676,0.608520840001591,45.6189264980015,26.7408016245411
950,960,0.703989232192241,0.610824738089294,46.3229157301937,27.3516263626304
970,980,0.633873460644065,0.625516237972671,46.9567891908378,27.9771426006031
990,1000,0.603379561250591,0.607980410398517,47.5601687520884,28.5851230110016
1010,1020,0.592525804446112,0.598089893840018,48.1526945565345,29.1832129048416
1030,1040,0.566413460763238,0.599054737944001,48.7191080172977,29.7822676427856
1050,1060,0.557776581571959,0.550151929183139,49.2768845988697,30.3324195719688
1070,1080,0.549933643608128,0.556578883627847,49.8268182424778,30.8889984555966
1090,1100,0.531419202123062,0.606242896155287,50.3582374446009,31.4952413517519
1110,1120,0.513669982510779,0.577795012412855,50.8719074271116,32.0730363641648
1130,1140,0.619191198882444,0.530751258101664,51.4910986259941,32.6037876222664
1150,1160,0.512428756655541,0.554235213862635,52.0035273826496,33.158022836129
1170,1180,0.490515795909679,0.532794532776776,52.4940431785593,33.6908173689058
1190,1200,0.454682558009568,0.519579462177089,52.9487257365689,34.2103968310829
1210,1220,0.463453774953554,0.516539468100982,53.4121795115224,34.7269362991839
1230,1240,0.465664074574375,0.516370317204929,53.8778435860968,35.2433066163888
1250,1260,0.436967586205599,0.503484767769911,54.3148111723024,35.7467913841587
1270,1280,0.454877317221594,0.472109324984219,54.769688489524,36.218900709143
1290,1300,0.416137136264206,0.519596616964643,55.1858256257882,36.7384973261076
1310,1320,0.458535769581486,0.47745840681965,55.6443613953697,37.2159557329272
1330,1340,0.400115964453152,0.496528673042654,56.0444773598228,37.7124844059699
1350,1360,0.425981798393321,0.490699654209138,56.4704591582161,38.203184060179
1370,1380,0.389229647576237,0.499810919783459,56.8596888057924,38.7029949799625
1390,1400,0.37285945350094,0.44157856164002,57.2325482592933,39.1445735416025
1410,1420,0.457564925050263,0.429429361156534,57.6901131843436,39.5740029027591
1430,1440,0.367620604246174,0.432208190998219,58.0577337885898,40.0062110937573
1450,1460,0.387947508796439,0.391415023443025,58.4456812973862,40.3976261172003
1470,1480,0.353431329309202,0.474355993790525,58.7991126266954,40.8719821109908
1490,1500,0.325931064467842,0.39614593789287,59.1250436911632,41.2681280488837
1510,1520,0.357909456071708,0.421122228628819,59.482953147235,41.6892502775125
1530,1540,0.362908714872678,0.413313221886343,59.8458618621076,42.1025634993988
1550,1560,0.347901187111738,0.433136977430504,60.1937630492194,42.5357004768294
1570,1580,0.362525690820169,0.397261828811641,60.5562887400395,42.932962305641
1590,1600,0.342833917376423,0.372194570669469,60.899122657416,43.3051568763105
1610,1620,0.320771552476787,0.397712567327814,61.2198942098928,43.7028694436383
1630,1640,0.291747126611452,0.357543109714579,61.5116413365042,44.0604125533529
1650,1660,0.314204295540007,0.423067708564018,61.8258456320442,44.4834802619169
1670,1680,0.288465705650754,0.338621220116691,62.114311337695,44.8221014820336
1690,1700,0.349783260001881,0.358092876885301,62.4640945976969,45.1801943589189
1710,1720,0.279512962292028,0.325713240647161,62.7436075599889,45.505907599566
1730,1740,0.306645084417772,0.34312770122738,63.0502526444067,45.8490353007934
1750,1760,0.276481253810916,0.340332974331844,63.3267338982176,46.1893682751253
1770,1780,0.289925894589428,0.323284654665527,63.616659792807,46.5126529297908
